price,pair_id,seed,mirror,pos_a,comp_a,comp_b,cost_a,cost_b,winner_label,turns,unresolved
A,2,7,0,P1,0w0c3b,0w6c0b,42,42,B,14,false
A,2,7,1,P2,0w0c3b,0w6c0b,42,42,B,15,false
A,2,8,0,P1,0w0c3b,0w6c0b,42,42,B,20,false
A,2,8,1,P2,0w0c3b,0w6c0b,42,42,B,21,false
A,2,9,0,P1,0w0c3b,0w6c0b,42,42,B,20,false
A,2,9,1,P2,0w0c3b,0w6c0b,42,42,B,19,false
A,2,10,0,P1,0w0c3b,0w6c0b,42,42,B,22,false
A,2,10,1,P2,0w0c3b,0w6c0b,42,42,B,17,false
A,2,11,0,P1,0w0c3b,0w6c0b,42,42,B,14,false
A,2,11,1,P2,0w0c3b,0w6c0b,42,42,B,17,false
A,2,12,0,P1,0w0c3b,0w6c0b,42,42,B,20,false
A,2,12,1,P2,0w0c3b,0w6c0b,42,42,B,19,false
A,2,13,0,P1,0w0c3b,0w6c0b,42,42,B,18,false
A,2,13,1,P2,0w0c3b,0w6c0b,42,42,B,23,false
A,2,14,0,P1,0w0c3b,0w6c0b,42,42,B,18,false
A,2,14,1,P2,0w0c3b,0w6c0b,42,42,B,17,false
A,2,15,0,P1,0w0c3b,0w6c0b,42,42,B,18,false
A,2,15,1,P2,0w0c3b,0w6c0b,42,42,B,19,false
A,2,16,0,P1,0w0c3b,0w6c0b,42,42,B,16,false
A,2,16,1,P2,0w0c3b,0w6c0b,42,42,B,15,false
A,2,17,0,P1,0w0c3b,0w6c0b,42,42,B,22,false
A,2,17,1,P2,0w0c3b,0w6c0b,42,42,B,27,false
A,2,18,0,P1,0w0c3b,0w6c0b,42,42,B,16,false
A,2,18,1,P2,0w0c3b,0w6c0b,42,42,B,13,false
A,2,19,0,P1,0w0c3b,0w6c0b,42,42,B,20,false
A,2,19,1,P2,0w0c3b,0w6c0b,42,42,B,17,false
A,2,20,0,P1,0w0c3b,0w6c0b,42,42,B,18,false
A,2,20,1,P2,0w0c3b,0w6c0b,42,42,B,25,false
A,3,1,0,P1,0w0c3b,1w1c2b,42,40,B,26,false
A,3,1,1,P2,0w0c3b,1w1c2b,42,40,A,30,false
A,3,2,0,P1,0w0c3b,1w1c2b,42,40,B,34,false
A,3,2,1,P2,0w0c3b,1w1c2b,42,40,A,24,false
A,3,3,0,P1,0w0c3b,1w1c2b,42,40,B,22,false
A,3,3,1,P2,0w0c3b,1w1c2b,42,40,A,19,false
A,3,4,0,P1,0w0c3b,1w1c2b,42,40,A,27,false
A,3,4,1,P2,0w0c3b,1w1c2b,42,40,B,31,false
A,3,5,0,P1,0w0c3b,1w1c2b,42,40,B,26,false
A,3,5,1,P2,0w0c3b,1w1c2b,42,40,B,31,false
A,3,6,0,P1,0w0c3b,1w1c2b,42,40,B,22,false
A,3,6,1,P2,0w0c3b,1w1c2b,42,40,B,21,false
A,3,7,0,P1,0w0c3b,1w1c2b,42,40,A,23,false
A,3,7,1,P2,0w0c3b,1w1c2b,42,40,A,26,false
A,3,8,0,P1,0w0c3b,1w1c2b,42,40,B,34,false
A,3,8,1,P2,0w0c3b,1w1c2b,42,40,B,31,false
A,3,9,0,P1,0w0c3b,1w1c2b,42,40,A,21,false
A,3,9,1,P2,0w0c3b,1w1c2b,42,40,A,34,false
A,3,10,0,P1,0w0c3b,1w1c2b,42,40,A,27,false
A,3,10,1,P2,0w0c3b,1w1c2b,42,40,A,28,false
A,3,11,0,P1,0w0c3b,1w1c2b,42,40,B,26,false
A,3,11,1,P2,0w0c3b,1w1c2b,42,40,A,18,false
A,3,12,0,P1,0w0c3b,1w1c2b,42,40,B,30,false
A,3,12,1,P2,0w0c3b,1w1c2b,42,40,A,22,false
A,3,13,0,P1,0w0c3b,1w1c2b,42,40,A,24,false
